Date, Close/Last, Volume, Open, High, Low
08/08/2014, 19.275, 1170018, 18.9233, 19.3017, 18.8633
08/07/2014, 18.8833, 1205784, 19.1717, 19.1883, 18.7917
08/06/2014, 19.0367, 931944, 18.8483, 19.155, 18.8483
08/05/2014, 18.9833, 1983504, 19.1883, 19.25, 18.8333
08/04/2014, 19.285, 1517700, 19.1733, 19.365, 19.0167
08/01/2014, 19.1417, 2964623, 19.1667, 19.3433, 19
07/31/2014, 19.325, 2741939, 19.7583, 19.7983, 19.305
07/30/2014, 20.0433, 2869925, 20.2567, 20.2966, 19.8883
07/29/2014, 20.1383, 1094316, 20.4017, 20.465, 20.1317
07/28/2014, 20.2883, 954414, 20.2317, 20.3333, 20.03
07/25/2014, 20.225, 1791102, 20.36, 20.3733, 20.125
07/24/2014, 20.5333, 511644, 20.5917, 20.6267, 20.4767
07/23/2014, 20.55, 818700, 20.625, 20.625, 20.475
07/22/2014, 20.6033, 659706, 20.57, 20.6533, 20.535
07/21/2014, 20.4617, 1153284, 20.4483, 20.515, 20.2717
07/18/2014, 20.5583, 1298112, 20.43, 20.6067, 20.3683
07/17/2014, 20.2917, 1762734, 20.5817, 20.7, 20.2567
07/16/2014, 20.6467, 943824, 20.6133, 20.6633, 20.5483
07/15/2014, 20.4833, 1130346, 20.5067, 20.5967, 20.3417
07/14/2014, 20.4533, 926994, 20.4383, 20.53, 20.4085
07/11/2014, 20.1967, 1318920, 20.0983, 20.205, 19.995
07/10/2014, 20.1417, 1638438, 19.88, 20.235, 19.8567
07/09/2014, 20.2917, 877038, 20.205, 20.3217, 20.1283
07/08/2014, 20.125, 1330020, 20.295, 20.2983, 20.0233
07/07/2014, 20.36, 1216164, 20.3583, 20.3967, 20.2867
07/03/2014, 20.4767, 618144, 20.3633, 20.49, 20.34
07/02/2014, 20.2583, 663984, 20.2417, 20.2767, 20.2067
07/01/2014, 20.21, 1465662, 19.9833, 20.3117, 19.9833
06/30/2014, 19.9, 1558236, 19.905, 20.0033, 19.85
06/27/2014, 19.97, 1333134, 19.8667, 19.985, 19.77
06/26/2014, 19.9483, 1451466, 20.0117, 20.0117, 19.705
06/25/2014, 19.9983, 738396, 19.8267, 20.0433, 19.8083
06/24/2014, 19.94, 1906386, 20.185, 20.2917, 19.8935
06/23/2014, 20.1983, 893988, 20.2433, 20.2433, 20.115
06/20/2014, 20.25, 825030, 20.26, 20.31, 20.2167
06/19/2014, 20.1733, 465792, 20.1517, 20.1867, 20.0321
06/18/2014, 20.1317, 1207362, 19.8967, 20.1533, 19.7767
06/17/2014, 19.9167, 795366, 19.77, 19.9517, 19.7233
06/16/2014, 19.8317, 543144, 19.7617, 19.8983, 19.7117
06/13/2014, 19.8217, 909972, 19.7983, 19.865, 19.7017
06/12/2014, 19.7467, 1231458, 19.97, 19.98, 19.6667
06/11/2014, 19.99, 1195338, 20.0933, 20.0933, 19.9333
