Date, Close/Last, Volume, Open, High, Low
11/23/2018, $52.88, 975050, $53, $53.15, $52.25
11/21/2018, $53.11, 4799210, $52.79, $53.46, $52.41
11/20/2018, $52.91, 4419912, $54.41, $54.58, $52.41
11/19/2018, $54.57, 5078789, $55.41, $56.1595, $54.33
11/16/2018, $55.46, 6440840, $56.85, $57.15, $55.3
11/15/2018, $57.63, 3768688, $56.9, $57.64, $55.62
11/14/2018, $57.31, 4344466, $57.02, $58.31, $56.3
11/13/2018, $56.73, 2666673, $56.05, $57.36, $55.9403
11/12/2018, $55.93, 2782605, $55.33, $56.29, $54.975
11/09/2018, $55.31, 4201230, $56.46, $56.6, $54.46
11/08/2018, $56.13, 7442303, $52.95, $56.2, $51.21
11/07/2018, $53.65, 2910474, $52.8, $53.7, $52.59
11/06/2018, $52.53, 2952744, $51.32, $52.59, $50.91
11/05/2018, $52.09, 1958022, $51.58, $52.27, $51.57
11/02/2018, $51.44, 2383818, $52.91, $53.12, $51.13
11/01/2018, $52.61, 3318604, $50.6, $52.7, $50.54
10/31/2018, $50.6, 4665938, $51.7, $51.7929, $50.13
10/30/2018, $51.57, 4179429, $50.38, $51.605, $50
10/29/2018, $50.24, 2707048, $50.61, $51.44, $49.6
10/26/2018, $49.92, 4413108, $50.03, $50.34, $48.97
10/25/2018, $50.64, 4279585, $49.89, $51.17, $48.91
10/24/2018, $49.6, 6826602, $51.66, $52.29, $49.51
10/23/2018, $51.83, 3209221, $51.51, $52.15, $50.93
10/22/2018, $52.01, 3684322, $53.19, $53.52, $51.79
10/19/2018, $53.19, 2984956, $53.42, $54.58, $52.93
10/18/2018, $53.42, 3574545, $53.55, $54, $53.15
10/17/2018, $53.52, 4351692, $52.65, $54.54, $52.57
10/16/2018, $52.65, 4878808, $51.86, $52.88, $51.555
10/15/2018, $51.53, 2604667, $51.57, $52.16, $51.5
10/12/2018, $51.63, 3969779, $51.96, $51.99, $51.06
10/11/2018, $51.53, 6848811, $54.12, $54.28, $51.42
10/10/2018, $54.22, 3516857, $54.46, $55.63, $54.15
10/09/2018, $54.38, 1834908, $54.31, $54.55, $53.36
10/08/2018, $54.44, 1807173, $53.72, $54.64, $53.72
10/05/2018, $53.79, 2068915, $53.59, $54.37, $53.59
10/04/2018, $53.59, 2908622, $53.7, $54.29, $53.37
10/03/2018, $53.97, 3172315, $54.16, $54.53, $53.935
10/02/2018, $53.98, 1800596, $53.97, $54.45, $53.68
10/01/2018, $53.94, 2226536, $54.11, $54.39, $53.745
09/28/2018, $54, 3178601, $53.65, $54.11, $53.43
09/27/2018, $54.06, 2044479, $53.63, $54.53, $53.57
09/26/2018, $53.63, 2548578, $53.39, $54.28, $53.39
09/25/2018, $53.33, 2986960, $53.78, $53.995, $53.105
09/24/2018, $53.91, 4957145, $54.92, $55.15, $53.48
09/21/2018, $54.94, 4570430, $55.22, $55.36, $54.69
09/20/2018, $55.17, 4789034, $54.03, $55.48, $54.03
09/19/2018, $53.94, 3107597, $53.67, $54.38, $53.67
